city,date,aqi,quality_level,pm2_5,pm10,so2,co,no2,o3
beijing,2022-01-01,51,良,90,25,56,35,3,0.6
beijing,2022-01-02,27,优,16,12,27,23,2,0.32
beijing,2022-01-03,49,优,73,23,50,39,2,0.51
beijing,2022-01-04,52,良,79,32,55,44,4,0.88
beijing,2022-01-05,82,良,197,61,72,50,2,1.03
beijing,2022-01-06,79,良,195,57,63,47,3,1.0
beijing,2022-01-07,111,轻度污染,239,83,89,61,3,1.34
beijing,2022-01-08,78,良,161,56,61,43,2,0.91
beijing,2022-01-09,65,良,136,46,67,42,2,0.92
beijing,2022-01-10,36,优,68,20,29,20,2,0.45
beijing,2022-01-11,23,优,14,10,23,24,2,0.36
beijing,2022-01-12,37,优,41,16,37,27,2,0.43
beijing,2022-01-13,22,优,9,9,21,21,2,0.33
beijing,2022-01-14,90,良,244,63,79,50,3,0.84
beijing,2022-01-15,73,良,138,46,61,31,2,0.6
beijing,2022-01-16,24,优,20,9,22,23,2,0.35
beijing,2022-01-17,35,优,75,16,35,33,2,0.48
beijing,2022-01-18,67,良,166,47,70,55,5,0.89
beijing,2022-01-19,81,良,185,59,78,42,6,1.17
beijing,2022-01-20,54,良,117,37,43,23,2,0.51
beijing,2022-01-21,78,良,206,57,53,33,2,0.73
beijing,2022-01-22,129,轻度污染,274,98,71,48,2,1.48
beijing,2022-01-23,157,中度污染,314,119,73,45,2,1.43
beijing,2022-01-24,196,中度污染,332,148,88,42,2,1.63
beijing,2022-01-25,100,良,212,73,40,23,2,0.83
beijing,2022-01-26,18,优,13,10,13,15,2,0.34
beijing,2022-01-27,21,优,23,13,18,16,2,0.37
beijing,2022-01-28,24,优,66,14,20,15,2,0.37
beijing,2022-01-29,27,优,83,18,26,22,2,0.45
beijing,2022-01-30,116,轻度污染,295,86,107,32,2,0.95
beijing,2022-01-31,29,优,55,12,19,6,2,0.26
beijing,2022-02-01,21,优,19,6,11,8,2,0.25
beijing,2022-02-02,22,优,39,12,18,13,2,0.33
beijing,2022-02-03,21,优,53,7,13,9,2,0.27
beijing,2022-02-04,23,优,44,5,9,4,2,0.2
beijing,2022-02-05,22,优,12,7,13,7,1,0.23
beijing,2022-02-06,22,优,14,8,15,10,2,0.26
beijing,2022-02-07,22,优,44,10,20,16,2,0.36
beijing,2022-02-08,26,优,75,14,25,22,2,0.43
beijing,2022-02-09,53,良,182,37,54,35,3,0.69
beijing,2022-02-10,75,良,226,55,79,36,3,0.76
beijing,2022-02-11,69,良,198,50,74,29,3,0.66
beijing,2022-02-12,56,良,163,35,62,20,3,0.63
beijing,2022-02-13,68,良,204,49,70,21,2,0.76
beijing,2022-02-14,27,优,65,13,18,10,2,0.32
beijing,2022-02-15,22,优,5,13,19,13,2,0.32
beijing,2022-02-16,23,优,7,13,20,14,2,0.3
beijing,2022-02-17,37,优,146,25,36,24,2,0.47
beijing,2022-02-18,51,良,238,34,45,21,2,0.44
beijing,2022-02-19,22,优,63,8,15,6,2,0.23
beijing,2022-02-20,21,优,40,8,20,12,2,0.29
beijing,2022-02-21,22,优,49,8,19,9,2,0.25
beijing,2022-02-22,22,优,55,10,18,10,2,0.27
beijing,2022-02-23,26,优,59,14,26,25,2,0.41
beijing,2022-02-24,40,优,101,23,43,33,3,0.52
beijing,2022-02-25,84,良,241,61,101,48,4,0.8
beijing,2022-02-26,30,优,21,10,23,15,2,0.28
beijing,2022-02-27,47,优,71,20,51,37,3,0.5
beijing,2022-02-28,78,良,180,53,105,44,6,0.8
beijing,2022-03-01,25,优,9,6,17,10,2,0.25
beijing,2022-03-02,43,优,52,16,44,25,2,0.4
beijing,2022-03-03,57,良,98,24,68,26,4,0.56
beijing,2022-03-04,72,良,158,27,97,24,2,0.47
beijing,2022-03-05,32,优,25,7,31,10,2,0.23
beijing,2022-03-06,48,优,116,21,52,35,4,0.43
beijing,2022-03-07,50,优,142,25,55,34,3,0.48
beijing,2022-03-08,78,良,218,54,99,48,5,0.75
beijing,2022-03-09,132,轻度污染,317,99,166,51,7,1.04
beijing,2022-03-10,203,重度污染,336,153,246,47,5,1.24
beijing,2022-03-11,129,轻度污染,313,96,166,36,4,1.0
beijing,2022-03-12,63,良,165,42,68,28,2,0.62
beijing,2022-03-13,82,良,221,60,81,29,2,0.78
beijing,2022-03-14,49,优,88,30,51,17,2,0.47
beijing,2022-03-15,68,良,180,46,85,24,2,0.65
beijing,2022-03-16,82,良,238,48,113,28,2,0.68
beijing,2022-03-17,40,优,184,17,40,18,3,0.48
beijing,2022-03-18,60,良,265,43,54,24,3,0.58
beijing,2022-03-19,38,优,92,24,28,18,2,0.38
beijing,2022-03-20,53,良,214,37,52,28,2,0.41
beijing,2022-03-21,22,优,60,9,15,15,2,0.25
beijing,2022-03-22,28,优,106,14,27,22,2,0.28
beijing,2022-03-23,74,良,284,53,73,32,2,0.49
beijing,2022-03-24,124,轻度污染,317,94,129,42,2,0.78
beijing,2022-03-25,114,轻度污染,322,57,141,28,2,0.57
beijing,2022-03-26,67,良,258,14,84,20,2,0.26
beijing,2022-03-27,30,优,61,6,27,12,2,0.2
beijing,2022-03-28,69,良,255,28,87,23,2,0.33
beijing,2022-03-29,79,良,295,53,103,26,2,0.5
beijing,2022-03-30,42,优,128,30,42,19,2,0.49
beijing,2022-03-31,30,优,71,13,19,15,2,0.3
beijing,2022-04-01,30,优,94,12,30,22,2,0.25
beijing,2022-04-02,36,优,120,13,30,19,2,0.28
beijing,2022-04-03,52,良,176,21,58,24,2,0.33
beijing,2022-04-04,92,良,327,67,119,26,3,0.54
beijing,2022-04-05,87,良,323,46,111,22,2,0.45
beijing,2022-04-06,59,良,200,11,67,14,2,0.33
beijing,2022-04-07,63,良,199,26,77,33,2,0.38
beijing,2022-04-08,117,轻度污染,323,87,161,35,5,1.03
beijing,2022-04-09,122,轻度污染,327,91,163,28,3,0.87
beijing,2022-04-10,125,轻度污染,325,94,169,29,4,1.1
beijing,2022-04-11,118,轻度污染,295,64,179,29,2,0.73
beijing,2022-04-12,69,良,237,13,87,11,2,0.24
beijing,2022-04-13,56,良,254,28,63,17,2,0.39
beijing,2022-04-14,34,优,92,11,29,16,2,0.24
beijing,2022-04-15,29,优,71,9,22,10,2,0.2
beijing,2022-04-16,37,优,122,12,35,20,2,0.23
beijing,2022-04-17,69,良,278,39,87,37,2,0.4
beijing,2022-04-18,79,良,286,57,104,31,3,0.58
beijing,2022-04-19,74,良,271,50,88,30,2,0.45
beijing,2022-04-20,70,良,226,38,88,24,3,0.43
beijing,2022-04-21,84,良,289,33,118,15,2,0.36
beijing,2022-04-22,38,优,91,10,38,9,2,0.21
beijing,2022-04-23,74,良,250,35,98,25,3,0.46
beijing,2022-04-24,94,良,316,51,138,28,4,0.77
beijing,2022-04-25,100,良,316,64,151,25,4,1.09
beijing,2022-04-26,73,良,258,24,97,9,2,0.34
